X--Trace 1::[Channel A],Y--Trace 1::[Channel A],,X--Trace 2::[Channel B],Y--Trace 2::[Channel B]
0,0,,0,0
1e-008,6.28319e-006,,1e-008,4.76586e-005
2e-008,1.25664e-005,,2e-008,0.00012548
4e-008,2.51327e-005,,4e-008,0.000319276
8e-008,5.02655e-005,,8e-008,0.000812733
1.6e-007,0.000100531,,1.6e-007,0.00185285
3.2e-007,0.000201062,,3.2e-007,0.00392611
6.4e-007,0.000402123,,6.4e-007,0.00807238
1.28e-006,0.000804239,,1.28e-006,0.0163489
2.28e-006,0.00143252,,2.28e-006,0.029246
3.28e-006,0.00206074,,3.28e-006,0.0420965
4.28e-006,0.00268888,,4.28e-006,0.0549025
5.28e-006,0.00331691,,5.28e-006,0.067661
6.28e-006,0.00394482,,6.28e-006,0.0803739
7.28e-006,0.00457256,,7.28e-006,0.0930385
8.28e-006,0.00520013,,8.28e-006,0.105656
9.28e-006,0.00582749,,9.28e-006,0.118225
1.028e-005,0.00645462,,1.028e-005,0.130746
1.128e-005,0.0070815,,1.128e-005,0.143217
1.228e-005,0.0077081,,1.228e-005,0.155639
1.328e-005,0.00833439,,1.328e-005,0.16801
1.428e-005,0.00896035,,1.428e-005,0.180332
1.528e-005,0.00958597,,1.528e-005,0.192602
1.628e-005,0.0102112,,1.628e-005,0.204821
1.728e-005,0.010836,,1.728e-005,0.216988
1.828e-005,0.0114604,,1.828e-005,0.229103
1.928e-005,0.0120844,,1.928e-005,0.241166
2.028e-005,0.0127078,,2.028e-005,0.253176
2.128e-005,0.0133308,,2.128e-005,0.265132
2.228e-005,0.0139533,,2.228e-005,0.277035
2.328e-005,0.0145752,,2.328e-005,0.288883
2.428e-005,0.0151965,,2.428e-005,0.300677
2.528e-005,0.0158172,,2.528e-005,0.312417
2.628e-005,0.0164373,,2.628e-005,0.324101
2.728e-005,0.0170567,,2.728e-005,0.33573
2.828e-005,0.0176755,,2.828e-005,0.347303
2.928e-005,0.0182936,,2.928e-005,0.358819
3.028e-005,0.0189109,,3.028e-005,0.37028
3.128e-005,0.0195275,,3.128e-005,0.381683
3.228e-005,0.0201434,,3.228e-005,0.393029
3.328e-005,0.0207584,,3.328e-005,0.404318
3.428e-005,0.0213726,,3.428e-005,0.41555
3.528e-005,0.021986,,3.528e-005,0.426723
