"X--Trace 1::[V(1) - V(0), vvi | V(PR1)]","Y--Trace 1::[V(1) - V(0), vvi | V(PR1)]",,"X--Trace 2::[V(vdd) - V(3), vvi | V(PR2)]","Y--Trace 2::[V(vdd) - V(3), vvi | V(PR2)]"
0,0,,0,4.16938e-005
0.04,0.04,,0.04,4.16938e-005
0.08,0.08,,0.08,4.16938e-005
0.12,0.12,,0.12,4.16938e-005
0.16,0.16,,0.16,4.16938e-005
0.2,0.2,,0.2,4.16938e-005
0.24,0.24,,0.24,4.16938e-005
0.28,0.28,,0.28,4.16938e-005
0.32,0.32,,0.32,4.16938e-005
0.36,0.36,,0.36,4.16938e-005
0.4,0.4,,0.4,4.16938e-005
0.44,0.44,,0.44,4.16938e-005
0.48,0.48,,0.48,4.16938e-005
0.52,0.52,,0.52,4.16938e-005
0.56,0.56,,0.56,4.16938e-005
0.6,0.6,,0.6,4.16938e-005
0.64,0.64,,0.64,4.16938e-005
0.68,0.68,,0.68,4.16938e-005
0.72,0.72,,0.72,4.16938e-005
0.76,0.76,,0.76,4.16938e-005
0.8,0.8,,0.8,4.16938e-005
0.84,0.84,,0.84,4.16938e-005
0.88,0.88,,0.88,4.16938e-005
0.92,0.92,,0.92,4.16938e-005
0.96,0.96,,0.96,4.16938e-005
1,1,,1,4.16938e-005
1.04,1.04,,1.04,4.16938e-005
1.08,1.08,,1.08,4.16938e-005
1.12,1.12,,1.12,4.16938e-005
1.16,1.16,,1.16,4.16938e-005
1.2,1.2,,1.2,4.16938e-005
1.24,1.24,,1.24,4.16938e-005
1.28,1.28,,1.28,4.16938e-005
1.32,1.32,,1.32,4.16938e-005
1.36,1.36,,1.36,4.16938e-005
1.4,1.4,,1.4,4.16938e-005
1.44,1.44,,1.44,4.16938e-005
1.48,1.48,,1.48,4.16938e-005
1.52,1.52,,1.52,4.16938e-005
1.56,1.56,,1.56,4.16938e-005
1.6,1.6,,1.6,4.16938e-005
1.64,1.64,,1.64,4.16938e-005
1.68,1.68,,1.68,4.16938e-005
1.72,1.72,,1.72,4.16938e-005
1.76,1.76,,1.76,4.16938e-005
1.8,1.8,,1.8,4.16938e-005
1.84,1.84,,1.84,0.0157752
1.88,1.88,,1.88,0.191304
1.92,1.92,,1.92,0.557871
1.96,1.96,,1.96,1.11121
2,2,,2,1.8472
2.04,2.04,,2.04,2.76189
2.08,2.08,,2.08,3.85146
2.12,2.12,,2.12,4.77333
2.16,2.16,,2.16,4.82889
2.2,2.2,,2.2,4.85563
2.24,2.24,,2.24,4.87314
2.28,2.28,,2.28,4.88589
2.32,2.32,,2.32,4.89575
2.36,2.36,,2.36,4.90367
2.4,2.4,,2.4,4.9102
2.44,2.44,,2.44,4.9157
2.48,2.48,,2.48,4.9204
2.52,2.52,,2.52,4.92448
2.56,2.56,,2.56,4.92805
2.6,2.6,,2.6,4.93121
2.64,2.64,,2.64,4.93403
2.68,2.68,,2.68,4.93656
2.72,2.72,,2.72,4.93884
2.76,2.76,,2.76,4.94091
2.8,2.8,,2.8,4.9428
2.84,2.84,,2.84,4.94454
2.88,2.88,,2.88,4.94613
2.92,2.92,,2.92,4.9476
2.96,2.96,,2.96,4.94896
3,3,,3,4.95022
3.04,3.04,,3.04,4.9514
3.08,3.08,,3.08,4.9525
3.12,3.12,,3.12,4.95353
3.16,3.16,,3.16,4.95449
3.2,3.2,,3.2,4.9554
3.24,3.24,,3.24,4.95625
3.28,3.28,,3.28,4.95706
3.32,3.32,,3.32,4.95782
3.36,3.36,,3.36,4.95854
3.4,3.4,,3.4,4.95922
3.44,3.44,,3.44,4.95987
3.48,3.48,,3.48,4.96049
3.52,3.52,,3.52,4.96107
3.56,3.56,,3.56,4.96163
3.6,3.6,,3.6,4.96217
3.64,3.64,,3.64,4.96267
3.68,3.68,,3.68,4.96316
3.72,3.72,,3.72,4.96363
3.76,3.76,,3.76,4.96407
3.8,3.8,,3.8,4.9645
3.84,3.84,,3.84,4.96491
3.88,3.88,,3.88,4.96531
3.92,3.92,,3.92,4.96569
3.96,3.96,,3.96,4.96605
4,4,,4,4.9664
